visit_id,agreement_id,vehicle_dealership_name,customer_id,vehicle_agency_brand_name,branch_division_name,branch_division_id,visit_start_date,visit_end_date,audit_sfctry_score_epse_type,agency_score_give_person_name,block_agncy_cr_line_mark_type,agency_rating_date,audit_score_hms_date,audit_bncl_financed_veh_number,audit_bncl_financed_veh_amount,operation_currency_type,audit_agncy_verif_veh_number,audit_agncy_verif_veh_amount,audit_non_verified_veh_number,audit_non_verified_veh_amount,audit_agncy_found_veh_number,audit_imperfect_veh_number,pend_delivery_paid_veh_number,non_paid_dspsl_sold_veh_number,brand_same_exchange_veh_number,liquidated_vehicles_number,agency_arrive_pend_veh_number,audit_missing_vehicles_number,agency_rej_audit_visit_number,agency_transferred_veh_number,stln_reported_veh_tot_number,agncy_penalty_vehicle_number,audit_non_verified_veh_per,level1_service_group_type,purchase_amount,settlement_days_number,audit_rgtry_new_veh_number,audit_rgtry_prwd_veh_number
51977,INDMY,INDIAN MONTERREY,B4714578,No Asiganda,Noreste,1826.0,04/01/2021,04/01/2021,Satisfactoria,Edgar Aguilar,FALSE,05/01/2021,01:53 p. m.,21,5580832.31,MXP,21,5580832.31,0,0.0,10,0,3,0,0,8,0,0,0,0,0,0,0,19:11,,12.0,21,0
51978,ACSLS,AUTOMOVILES COMPACTO,17116240,No Asiganda,Bajío,830.0,04/01/2021,04/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,04/01/2021,12:17 p. m.,8,3115868.44,MXP,8,3115868.44,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,8,0
51979,ACSLV,AUTOMOVILES COMPACTO,17116240,No Asiganda,Bajío,830.0,04/01/2021,04/01/2021,Satisfactoria,Edgar Aguilar,FALSE,05/01/2021,01:55 p. m.,21,6489570.3,MXP,21,6489570.3,0,0.0,20,0,1,0,0,0,0,0,0,0,0,0,0,17:57,,5.0,21,0
51980,ABMW2,AUTOWELT BMW 1,92847792,BMW,Noroeste,1794.0,04/01/2021,05/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,05/01/2021,10:30 a. m.,1,2135051.18,MXP,1,2135051.18,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,12.0,1,0
51981,SAU77,SURMAN AUTOS SA DE C,B4774938,BMW,Metro Corporativa,1853.0,04/01/2021,04/01/2021,Satisfactoria,Edgar Aguilar,FALSE,05/01/2021,06:51 p. m.,8,3256480.0,MXP,7,2918080.0,1,338400.0,7,0,0,0,0,0,0,0,0,0,1,0,0,21:8,1.0,6.0,0,8
51982,ASE21,AUTOMOTORES SIGLO,72546120,SUZUKI,Sureste,841.0,04/01/2021,05/01/2021,Satisfactoria,Johann Gaal,FALSE,05/01/2021,06:16 p. m.,97,26489406.15,MXP,86,23447304.69,11,3042101.46,80,0,0,0,0,6,10,0,0,1,0,0,11,9:46,,12.0,97,0
51983,AUPI6,AUTOS PITIC,80942374,SUZUKI,Occidente,723.0,05/01/2021,05/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,05/01/2021,05:47 p. m.,12,3459041.3,MXP,12,3459041.3,0,0.0,8,0,0,0,0,4,0,0,0,0,0,0,0,9:17,,12.0,12,0
51984,FWXXI,VOLVO MINERVAFAW SIGLO XXI,B5671964,FAW,Sureste,841.0,04/01/2021,04/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,04/01/2021,01:27 p. m.,5,1443836.88,MXP,5,1443836.88,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,5,0
51985,10183,10183 DEL VALLE,20950220,HONDA,Sureste,1809.0,05/01/2021,05/01/2021,Satisfactoria,Edgar Aguilar,FALSE,05/01/2021,06:51 p. m.,18,7868010.46,MXP,18,7868010.46,0,0.0,9,0,7,0,0,2,0,0,0,0,0,0,0,10:21,,12.0,18,0
52966,10018,DALTON  MOTORS SLP,25645054,HONDA,Occidente,723.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,08:03 p. m.,38,18507693.97,MXP,36,17262318.83,2,1245375.14,27,0,6,0,0,3,0,0,0,2,0,0,5,16:39,,5.0,38,0
52967,10100,DALTON HONDA 57,25645054,HONDA,Occidente,723.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Ricardo,FALSE,07/01/2021,07:03 p. m.,43,19290923.26,MXP,41,18580356.53,2,710566.73,23,0,10,0,0,8,0,0,0,2,0,0,4,23:46,,5.0,43,0
52968,GF007,FLOSOL        ,38649316,GENERAL MOTORS,Occidente,814.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,07:56 p. m.,13,5269468.55,MXP,12,4889342.85,1,380125.7,7,0,0,0,0,5,0,0,0,1,0,0,7,16:46,,5.0,13,0
52969,SRNT1,SIERRA NORTE,B6791655,INTERNATIONAL,Noreste,842.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Ricardo,FALSE,07/01/2021,06:57 p. m.,41,63307988.15,MXP,37,58542988.18,4,4764999.97,7,0,0,0,0,30,0,0,0,4,0,0,9,25:6,,5.0,41,0
52970,MASE1,H MASERATI1,B7584933,MASERATI,Bajío,830.0,05/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,10:22 a. m.,6,7646936.0,MXP,6,7646936.0,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,12.0,6,0
52971,SAMU3,SAMURAI MOTORS S DE,56901216,TOYOTA,Sur,1808.0,06/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,07/01/2021,07:51 p. m.,17,6014765.16,MXP,16,5630403.89,1,384361.27,9,0,4,0,0,3,0,0,0,1,0,0,5,17:10,,12.0,17,0
52972,CYSE1,SOLANA COUNTRY,A4800334,SUZUKI,Occidente,723.0,05/01/2021,05/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,05/01/2021,10:38 a. m.,1,132320.0,MXP,1,132320.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,8:31,,12.0,0,1
52973,AGAZ1,VOLKSWAGEN LEASING S,A3823993,VOLKSWAGEN,Occidente,723.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,08:04 p. m.,30,9991088.69,MXP,27,8448015.08,3,1543073.61,22,0,2,0,0,3,0,0,0,3,0,0,10,13:53,,12.0,30,0
52974,HYPS2,HYPS2 HYUNDAI PLASEN,B1622208,HYUNDAI,Occidente,723.0,06/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,07:59 p. m.,14,4247366.64,MXP,10,2687741.13,4,1559625.51,8,0,0,0,0,2,4,0,0,0,0,0,28,15:38,,5.0,14,0
52975,JLCN3,JLR CULIACAN 3      ,B0590775,SEMINUEVOS,Noroeste,1794.0,05/01/2021,05/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,05/01/2021,11:12 a. m.,7,11238973.2,MXP,7,11238973.2,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,7.0,7,0
52976,MOVA1,MOTO NOVA,17666566,HONDA MOTOS,Occidente,814.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,08:02 p. m.,99,3277086.53,MXP,97,3159594.88,2,117491.65,65,0,19,0,0,13,0,0,0,2,0,0,2,17:56,,12.0,99,0
52977,HYLIN,HYLIN HYUNDAI LINDAV,B9889406,HYUNDAI,Noreste,1826.0,05/01/2021,05/01/2021,Satisfactoria,Johann Gaal,FALSE,05/01/2021,06:14 p. m.,72,18906046.15,MXP,60,15372661.09,12,3533385.06,46,0,8,0,0,6,9,0,0,3,0,0,16,15:38,,12.0,72,0
52978,CHOB3,OBSON CHEVROLET,13146692,GENERAL MOTORS,Noroeste,758.0,05/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,01:21 p. m.,10,2375480.4,MXP,10,2375480.4,0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,10,0
52979,SACSV,SEM AUTO COMP SLP VW,17116240,No Asiganda,Bajío,830.0,05/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,10:09 a. m.,3,864160.0,MXP,3,864160.0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,0,3
52980,AAZU2,AGUA AZUL MOTORS SA,A3823993,VOLKSWAGEN,Occidente,723.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Ricardo,FALSE,07/01/2021,07:14 p. m.,71,19958273.42,MXP,64,17726787.68,7,2231485.74,56,0,3,0,0,5,0,0,0,7,0,0,9,21:3,,12.0,71,0
52981,JLRC2,PREM BRIT SEMINUEVOS,B0590775,SEMINUEVOS,Noroeste,1794.0,05/01/2021,05/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,05/01/2021,11:12 a. m.,1,764800.0,MXP,1,764800.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,6.0,0,1
52982,APOSE,APOSEMINUEVOS,B1857762,HYUNDAI,Noroeste,1794.0,05/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,06:21 p. m.,19,2569520.0,MXP,18,2472560.0,1,96960.0,7,0,4,0,0,7,0,0,0,1,0,0,5,18:21,12.0,6.0,0,19
52983,SNBON,SEMIBONN,37885547,AUDI,Sur,715.0,05/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,01:37 p. m.,18,4279280.0,MXP,18,4279280.0,0,0.0,10,0,0,0,0,8,0,0,0,0,0,0,0,8:30,8.0,6.0,0,18
52984,SUMA2,AUTOMOVILES SUMA SA,B5486557,SEMINUEVOS,Sur,715.0,05/01/2021,06/01/2021,Deficiente con Bloqueo,Edgar Ricardo,TRUE,08/01/2021,08:35 p. m.,231,69020039.93,MXP,226,67486373.94,5,1533665.99,114,0,0,0,0,112,0,1,0,4,0,0,1,29:5,,12.0,231,0
52985,TRIZ2,MOTRIZBONN202,37885547,AUDI,Sur,715.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,08:06 p. m.,58,17186646.38,MXP,53,16080430.0,5,1106216.38,34,0,0,0,0,19,0,0,0,5,0,0,8,11:36,,12.0,58,0
52986,BONNA,BONNAUDI,37885547,AUDI,Sur,715.0,05/01/2021,05/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,05/01/2021,05:52 p. m.,5,3021930.01,MXP,5,3021930.01,0,0.0,2,0,0,0,0,3,0,0,0,0,0,0,0,9:22,,12.0,5,0
52987,BONNS,BONNSEAT,37885547,AUDI,Sur,715.0,05/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,05:19 p. m.,9,3431046.03,MXP,9,3431046.03,0,0.0,4,0,0,0,0,5,0,0,0,0,0,0,0,8:49,,12.0,9,0
52988,VOLVO,VOLVO CAR SINALOA,51645481,VOLVO,Noroeste,1797.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,07:58 p. m.,7,6826680.04,MXP,5,5114332.12,2,1712347.92,5,0,0,0,0,0,2,0,0,0,0,0,28,15:18,,12.0,7,0
52989,MGDL1,MOTORMEXA,94542193,CHRYSLER,Occidente,814.0,06/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,05:06 p. m.,167,84998534.26,MXP,154,76218210.52,13,8780323.74,67,0,0,0,0,87,0,0,0,13,0,0,7,21:32,,5.0,167,0
52990,HYPEN,HYUNDAI PENTA,B1692920,HYUNDAI,Noreste,842.0,06/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,07/01/2021,07:50 p. m.,61,18260173.55,MXP,53,16008438.93,8,2251734.62,50,0,1,0,0,2,4,0,0,4,0,0,13,17:20,,5.0,61,0
52991,HYJUA,HYUNDAI JUAREZ,B1692920,HYUNDAI,Noreste,842.0,06/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,05:11 p. m.,64,17294589.57,MXP,46,11999137.39,18,5295452.18,39,0,0,0,0,7,18,0,0,0,0,0,28,20:39,,5.0,64,0
52992,10003,EXCELENCIA   MOTORS,19899016,HONDA,Occidente,723.0,06/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,06:13 p. m.,113,48808370.34,MXP,102,42938754.68,11,5869615.66,43,0,13,0,0,46,0,0,0,11,0,0,9,20:53,,5.0,113,0
52993,PAUT2,MBENZ CLN PREMIER,67433557,SMART,Noroeste,1794.0,06/01/2021,08/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,08/01/2021,11:58 a. m.,4,2890888.0,MXP,4,2890888.0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,4,0
52994,20007,ACURA SINALOA,22225715,HONDA,Occidente,723.0,06/01/2021,07/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,07/01/2021,11:18 a. m.,18,12690364.37,MXP,18,12690364.37,0,0.0,16,0,0,0,0,2,0,0,0,0,0,0,0,8:30,,12.0,18,0
52995,10030,VISION CULIACAN,22225715,HONDA,Occidente,723.0,06/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,07:59 p. m.,6,3402020.97,MXP,5,2662776.67,1,739244.3,3,0,0,0,0,2,1,0,0,0,0,0,16,16:16,,12.0,6,0
52996,10076,HONDA POZA RICA,51681071,HONDA,Sur,1808.0,08/01/2021,08/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,08/01/2021,12:16 p. m.,1,767389.58,MXP,1,767389.58,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,8:30,,12.0,1,0
52997,BECK5,AUDI PATRIA SEMINUEV,95516329,AUDI,Occidente,723.0,06/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,10:23 a. m.,1,260000.0,MXP,1,260000.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,0,1
52998,ABG02,AUDI LOPEZ MATEOS2,B1009679,AUDI,Occidente,723.0,06/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,10:23 a. m.,5,4509056.17,MXP,5,4509056.17,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,5,0
52999,HTXXI,HYUNDAI TRUCKS  XXI,B5671964,NEOHYUNDAI,Sureste,841.0,05/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,07:57 p. m.,4,3009410.56,MXP,3,2223570.88,1,785839.68,3,0,0,0,0,0,1,0,0,0,0,0,25,12:15,,12.0,4,0
53000,JIMA2,JIMENEZ AUTOCAMIONES,14247145,MERCEDEZ B CAMI,Occidente,1802.0,06/01/2021,07/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,07/01/2021,12:58 p. m.,21,41272401.22,MXP,21,41272401.22,0,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,21,0
53001,RSSE1,RIO SONORA    ,10719944,GENERAL MOTORS,Occidente,723.0,05/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,06:25 p. m.,73,16714160.0,MXP,73,16714160.0,0,0.0,55,0,18,0,0,0,0,0,0,0,0,0,0,18:25,2290263.6,12.0,0,73
53002,SGDL1,SOLANA GDL    ,54920420,GENERAL MOTORS,Occidente,723.0,06/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,09:55 a. m.,5,2020720.0,MXP,5,2020720.0,0,0.0,4,0,0,0,0,1,0,0,0,0,0,0,0,8:30,2.0,12.0,0,5
53003,ATBV1,AUTOMOVILES DE BAVIE,A3476135,BMW,Occidente,723.0,06/01/2021,08/01/2021,Satisfactoria,Edgar Aguilar,FALSE,11/01/2021,07:18 p. m.,62,59912715.84,MXP,56,54982883.0,6,4929832.84,30,0,1,0,0,25,0,0,0,6,0,0,9,24:45,,12.0,62,0
53004,MBCH2,CAMIONERA DE CHIHUAH,58021958,MERCEDEZ B CAMI,Noroeste,818.0,06/01/2021,07/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,07/01/2021,06:30 p. m.,6,11186521.3,MXP,6,11186521.3,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,10:0,,12.0,6,0
53005,MOT23,MOTOSPORT VALLE     ,B8402792,DUCATI,Metro Corporativa,1853.0,06/01/2021,06/01/2021,Satisfactoria,Edgar Aguilar,FALSE,06/01/2021,07:56 p. m.,9,2848443.78,MXP,9,2848443.78,0,0.0,6,0,3,0,0,0,0,0,0,0,0,0,0,17:51,,12.0,9,0
53006,JLGL6,JLR GDL MXP,21777279,JAGUAR LAND ROV,Occidente,723.0,06/01/2021,06/01/2021,Deficiente con Bloqueo,Edgar Aguilar,TRUE,07/01/2021,07:35 p. m.,5,5974098.6,MXP,5,5974098.6,0,0.0,0,0,1,2,0,2,0,0,0,0,0,0,0,20:6,,7.0,5,0
53007,CAJ08,CALIDAD JAPONESA SA,68861426,SUZUKI,Sur,816.0,06/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,05:59 p. m.,70,21213162.83,MXP,70,21213162.83,0,0.0,63,0,2,0,0,5,0,0,0,0,0,0,0,20:48,,12.0,70,0
53009,JLRFU,JLR FUSION,C0879403,SEMINUEVOS,Bajío,830.0,06/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,11:58 a. m.,6,8323711.08,MXP,6,8323711.08,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,12.0,6,0
53010,HYIST,HYUNDAI STMO,B2341823,HYUNDAI,Sur,715.0,07/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,05:07 p. m.,10,2537036.8,MXP,3,657859.8,7,1879177.0,2,0,1,0,0,0,7,0,0,0,0,0,70,21:9,,12.0,10,0
53011,10186,10186 ISTMO,20950220,HONDA,Sureste,1809.0,07/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,06:18 p. m.,9,4541328.77,MXP,8,3773939.19,1,767389.58,2,0,6,0,0,0,1,0,0,0,0,0,11,20:51,,12.0,9,0
53012,SBDOR,SEMIDORADA,85599000,SEMINUEVOS,Sur,715.0,06/01/2021,07/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,07/01/2021,02:40 p. m.,26,6602080.0,MXP,26,6602080.0,0,0.0,10,0,0,0,0,16,0,0,0,0,0,0,0,8:30,17.0,6.0,0,26
53013,DORVW,VW DORADA,85599000,SEMINUEVOS,Sur,715.0,06/01/2021,07/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,07/01/2021,02:43 p. m.,79,24663978.08,MXP,79,24663978.08,0,0.0,27,0,0,0,0,52,0,0,0,0,0,0,0,8:30,,12.0,79,0
53014,DOR20,BONNDORADA202,85599000,SEMINUEVOS,Sur,715.0,06/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,02:19 p. m.,38,14368862.02,MXP,38,14368862.02,0,0.0,9,0,0,0,0,29,0,0,0,0,0,0,0,8:30,,12.0,38,0
53015,ASUEC,AUTOS DE SUECIA,99658314,VOLVO,Bajío,830.0,06/01/2021,06/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,06/01/2021,12:53 p. m.,7,4917027.72,MXP,7,4917027.72,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,12.0,7,0
53016,10071,VISION MOCHIS,22225715,HONDA,Occidente,723.0,07/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,06:03 p. m.,10,5254697.19,MXP,8,4151212.53,2,1103484.66,6,0,0,0,0,2,2,0,0,0,0,0,20,20:47,,12.0,10,0
53017,10113,VISION SHOWROOM,22225715,HONDA,Occidente,723.0,07/01/2021,11/01/2021,Satisfactoria,Edgar Aguilar,FALSE,12/01/2021,08:16 p. m.,10,5443672.68,MXP,9,4676283.1,1,767389.58,7,0,0,0,0,2,1,0,0,0,0,0,10,26:56,,12.0,10,0
53018,10067,HONDA TLAXCALA      ,26720390,HONDA,Sur,816.0,07/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,05:27 p. m.,27,12846876.68,MXP,26,12079487.1,1,767389.58,20,0,0,0,0,6,1,0,0,0,0,0,3,20:33,,5.0,27,0
53019,SEMN1,SEMINUEVO NISS,17288961,NISSAN,Sur,1804.0,07/01/2021,07/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,07/01/2021,02:24 p. m.,3,470720.0,MXP,3,470720.0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,12.0,0,3
53020,NISA1,NISSAN APIZACO,17288961,NISSAN,Sur,1804.0,07/01/2021,07/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,07/01/2021,11:55 a. m.,17,5574731.96,MXP,17,5574731.96,0,0.0,14,0,0,0,0,3,0,0,0,0,0,0,0,8:30,,12.0,17,0
53021,BEC02,AUDI PATRIA 2,95516329,AUDI,Occidente,723.0,07/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,07/01/2021,07:54 p. m.,7,6198176.2,MXP,7,6198176.2,0,0.0,5,0,1,0,0,1,0,0,0,0,0,0,0,16:20,,5.0,7,0
53022,LPA02,VOLKSWAGEN PATRIA2,71631852,VOLKSWAGEN,Occidente,723.0,07/01/2021,08/01/2021,Satisfactoria,Edgar Aguilar,FALSE,11/01/2021,07:19 p. m.,22,6548823.55,MXP,20,5530012.3,2,1018811.25,14,0,2,0,0,4,0,0,0,2,0,0,9,24:42,,12.0,22,0
53023,ABGS1,AUDI LP SEMINUEVOS,B1009679,AUDI,Occidente,723.0,07/01/2021,07/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,07/01/2021,11:06 a. m.,2,382960.0,MXP,2,382960.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,0,2
53024,SYCM2,SYC MOTORS 2 ,17933403,CHRYSLER,Occidente,723.0,07/01/2021,07/01/2021,Satisfactoria,Edgar Aguilar,FALSE,08/01/2021,06:26 p. m.,39,21844622.36,MXP,36,20128963.8,3,1715658.56,17,0,19,0,0,0,0,0,0,3,0,0,7,18:26,,5.0,39,0
53025,AUTSI,AUTOMOTRIZDELASIERRA ,17116329,VOLKSWAGEN,Sur,1803.0,08/01/2021,08/01/2021,Satisfactoria,Edgar Aguilar,FALSE,11/01/2021,07:31 p. m.,11,3057022.23,MXP,11,3057022.23,0,0.0,5,0,2,0,0,4,0,0,0,0,0,0,0,24:20,,5.0,11,0
53026,AGSE2,AGUA AZUL MOTORS SA ,A3823993,VOLKSWAGEN,Occidente,723.0,07/01/2021,11/01/2021,Satisfactoria,Edgar Aguilar,FALSE,12/01/2021,08:38 p. m.,49,9801120.0,MXP,46,8562480.0,3,1238640.0,28,0,2,0,0,16,0,0,0,3,0,0,6,24:40,25.0,12.0,0,49
